"","Especie","Tamaño"
"1","b",27.7029657234253
"2","c",0.121728027220485
"3","d",0.368464060160833
"4","b",140.11538105958
"5","c",136.766768416195
"6","d",9.77939939320706
"7","b",11.2275299014604
"8","c",0.0170402063482449
"9","d",2.79025150351648
"10","b",0.838840568584405
"11","c",8.29555155384698
"12","d",67.2186678336404
"13","b",7.02002002069998
"14","c",20.6908750986947
"15","d",53.523100878548
"16","b",13.5570760934132
"17","c",1.15010765312546
"18","d",8.74132129423493
"19","b",21.1906331301856
"20","c",7.62732527892334
"21","d",11.1417985696073
"22","b",56.4055011212508
"23","c",16.7432958735462
"24","d",1.80313904614619
"25","b",11.8369815811148
"26","c",14.7355076273523
"27","d",0.961174693825137
"28","b",0.438829419405746
"29","c",0.483026140504871
"30","d",42.3602264456528
"31","b",3.76834835015735
"32","c",1.97681688439897
"33","d",6.04037463090841
"34","b",30.1992070756164
"35","c",17.7451060066478
"36","d",147.568988970863
"37","b",11.3871868287455
"38","c",0.371325706157878
"39","d",9.48762256587939
"40","b",0.926641116347626
"41","c",11.4827468763163
"42","d",3.07661000115801
"43","b",142.205798195817
"44","c",2.42874164114283
"45","d",3.08995514477015
"46","b",60.5714415202814
"47","c",0.946942180810734
"48","d",8.00308064193401
"49","b",3.83627002716549
"50","c",19.8053643946838
"51","d",16.0579853016779
"52","b",3.91013470480864
"53","c",4.74424056194472
"54","d",2.43867532662857
"55","b",2.70895685930976
"56","c",13.5915507617344
"57","d",9.99007966736872
"58","b",3.57323155111411
"59","c",2.83448766642607
"60","d",13.8469297459265
"61","b",14.3333244159896
"62","c",9.31646810185725
"63","d",11.1705565684384
"64","b",12.0042472570827
"65","c",2.89885273150256
"66","d",7.99747016057651
"67","b",13.2049624993257
"68","c",6.73771982524985
"69","d",11.2183466236392
"70","b",10.644344453498
"71","c",20.7542992046829
"72","d",9.03257462204965
"73","b",29.7314693298028
"74","c",5.09367254891346
"75","d",2.75313931879349
"76","b",9.43024240010656
"77","c",60.7849962513831
"78","d",1.76657081519654
"79","b",2.47436534344128
"80","c",9.34384807675102
"81","d",10.3966711949377
"82","b",1.3927253357417
"83","c",15.2672010249788
"84","d",14.78578351925
"85","b",1.3696969192374
"86","c",7.55499400371417
"87","d",34.1532178905321
"88","b",2.4338018163974
"89","c",6.02230872549111
"90","d",4.92482778718506
"91","b",4.72787177533696
"92","c",2.88837678725473
"93","d",29.0890753027507
"94","b",10.6416369410105
"95","c",20.4758022904041
"96","d",8.52660631710408
"97","b",21.7822649643244
"98","c",23.5530070956564
"99","d",5.62354585416139
"100","b",17.6367183175369
"101","c",1.46343446433478
"102","d",4.23191545372429
"103","b",0.150117607523216
"104","c",1.99091054006339
"105","d",0.00747430389602971
"106","b",0.611939766241224
"107","c",2.13257660897608
"108","d",0.0621802942095369
"109","b",0.216714208046806
"110","c",1.46255214448567
"111","d",0.299481815749599
"112","b",0.0207408953949683
"113","c",12.1509199952417
"114","d",0.00594196972141004
"115","b",0.598317003544688
"116","c",0.540930124206452
"117","d",1.36655917948654
"118","b",3.6960576384342
"119","c",17.877643760259
"120","d",0.0335152857093136
"121","b",18.6985935524394
"122","c",1.50366737971575
"123","d",1.92700226383822
"124","b",2.46944572652125
"125","c",0.228187703597594
"126","d",0.0808574499080604
"127","b",1.82975246431616
"128","c",2.10326006852537
"129","d",0.0744241719832022
"130","b",0.162097578796096
"131","c",1.09259245052304
"132","d",0.671535963434932
"133","b",0.29443994377704
"134","c",0.528886124305518
"135","d",0.271497892153305
"136","b",2.33555504301698
"137","c",2.07463488621754
"138","d",0.21148908536068
"139","b",8.15131980247548
"140","c",1.03436487474697
"141","d",1.7759683920076
"142","b",0.422328611815293
"143","c",0.729734320460922
"144","d",0.0535763505497907
"145","b",0.0477285127064439
"146","c",0.0675220451224149
"147","d",0.605644253588178
"148","b",8.67439453588645
"149","c",2.723737109664
"150","d",3.69539171128567
